actor_id,movie_id
act_1,tt26229612
act_2,tt26229612
act_3,tt26229612
act_4,tt26229612
act_5,tt26229612
act_6,tt3562110
act_7,tt3562110
act_8,tt3562110
act_9,tt3562110
act_10,tt3562110
act_11,tt27162102
act_12,tt27162102
act_13,tt27162102
act_14,tt27162102
act_15,tt27162102
act_16,tt27540217
act_17,tt27540217
act_18,tt27540217
act_19,tt27540217
act_20,tt27540217
act_21,tt31529147
act_22,tt31529147
act_23,tt31529147
act_24,tt31529147
act_25,tt31529147
act_26,tt27843798
act_27,tt27843798
act_28,tt27843798
act_29,tt27843798
act_30,tt27843798
act_31,tt32223398
act_32,tt32223398
act_33,tt32223398
act_34,tt32223398
act_35,tt32223398
act_36,tt27922706
act_37,tt27922706
act_38,tt27922706
act_39,tt27922706
act_40,tt27922706
act_41,tt28007064
act_42,tt28007064
act_35,tt28007064
act_43,tt28007064
act_44,tt28007064
act_45,tt1187043
act_7,tt1187043
act_46,tt1187043
act_47,tt1187043
act_48,tt1187043
act_49,tt30798612
act_50,tt30798612
act_51,tt30798612
act_52,tt30798612
act_53,tt30798612
act_54,tt27852049
act_55,tt27852049
act_56,tt27852049
act_57,tt27852049
act_58,tt27852049
act_59,tt7363076
act_60,tt7363076
act_61,tt7363076
act_62,tt7363076
act_63,tt7363076
act_64,tt9214772
act_65,tt9214772
act_66,tt9214772
act_67,tt9214772
act_68,tt9214772
act_69,tt13261550
act_70,tt13261550
act_71,tt13261550
act_72,tt13261550
act_73,tt13261550
act_74,tt13818368
act_75,tt13818368
act_76,tt13818368
act_77,tt13818368
act_78,tt13818368
act_79,tt0454876
act_80,tt0454876
act_81,tt0454876
act_82,tt0454876
act_83,tt0454876
act_84,tt28377588
act_85,tt28377588
act_86,tt28377588
act_87,tt28377588
act_88,tt28377588
act_89,tt8936646
act_90,tt8936646
act_91,tt8936646
act_92,tt8936646
act_93,tt8936646
act_94,tt23849204
act_95,tt23849204
act_96,tt23849204
act_97,tt23849204
act_98,tt23849204
act_64,tt1010048
act_99,tt1010048
act_61,tt1010048
act_76,tt1010048
act_100,tt1010048
act_101,tt28622758
act_102,tt28622758
act_103,tt28622758
act_104,tt28622758
act_105,tt28622758
act_45,tt5074352
act_106,tt5074352
act_107,tt5074352
act_108,tt5074352
act_109,tt5074352
act_110,tt32086077
act_111,tt32086077
act_112,tt32086077
act_113,tt32086077
act_114,tt32086077
act_115,tt32060445
act_116,tt32060445
act_112,tt32060445
act_117,tt32060445
act_118,tt32060445
act_49,tt8239946
act_119,tt8239946
act_120,tt8239946
act_121,tt8239946
act_122,tt8239946
act_123,tt11112532
act_124,tt11112532
act_125,tt11112532
act_126,tt11112532
act_127,tt11112532
act_128,tt0838221
act_129,tt0838221
