actor_id,actor_name
act_1016,Parveen Babi
act_1142,Vinay Sharma
act_3155,Jennifer Butler
act_4443,Bahadur
act_209,Narne Nithiin
act_5372,Raachit Kothari
act_280,Huma Qureshi
act_6,Akshay Kumar
act_2589,Preeti Sapru
act_599,Josh Hartnett
act_3731,Devendra Gaikwad
act_4220,Rajesh Bakshi
act_4645,Karishma Mathur
act_453,Rajesh Jais
act_1044,K.K. Raina
act_3759,Gargi Shitole
act_1145,Dalai
act_1820,Jeevan Dhar
act_3944,Indraneel
act_4348,Teetu Verma
act_2425,Shahbaaz Khan
act_1984,Avantika Akerkar
act_2667,Suhas Bhalekar
act_4228,Amit Purohit
act_4749,Mahendra Sandhu
act_676,Esha Deol
act_1062,Lloyd Owen
act_5225,Mehul Buch
act_5235,Shailesh Hejmady
act_3712,Pravin Baby
act_2034,Insane Ashraf
act_4281,Ravindra Sahu
act_3771,Pooja Pallavi
act_579,Sendhil Ramamurthy
act_5129,Lushin Dubey
act_4082,Rajat Ganguly
act_907,Pradip Adhikari
act_1469,Ekavali Khanna
act_5101,Ghazal Ansari
act_448,Neena Gupta
act_5293,Fathima Babu
act_3038,Saba Azad
act_4842,Diwakar Pundir
act_2140,Samir Soni
act_4828,Ranjana Srivastava
act_665,Jyoti Subhash
act_1095,Sushama Deshpande
act_1175,Maneka Kurup Arora
act_5254,Pranay Narayan
act_4690,Aashish Duggal
act_1778,Imam Hossain Saju
act_3102,Arnab Bhattacharya
act_563,Roshan Mathew
act_2827,Vinod Jaywant
act_1508,Sadhana Shivdasani
act_2406,Yuvraaj Parashar
act_2784,Satish Kaul
act_2807,Sachin K. Jaryal
act_1477,Vishal Malhotra
act_4516,Prem Kishen Dwivedi
act_1627,Babu Antony
act_3502,Radha Seth
act_4130,Anjali Paigankar
act_2602,Diana Khan
act_4674,Roaleey Ryan
act_3874,Neetu Chaudhary
act_3212,Khalid Abdalla
act_1075,David Arquette
act_2903,Mannveer Choudharry
act_4123,Jai Hind Kumar
act_5168,Manohara
act_2382,Suresh Sur
act_3267,Saheb Bhattacharjee
act_5374,Shiny Gogoi
act_4944,Deepak Chaddha
act_2192,Gunnit Kaur
act_2268,Raunaq Kamdar
act_3207,Sadakkit Bijran
act_4444,Niranjan Chaubey
act_4988,Robbie Marih
act_1339,Juhi Babbar
act_1775,Nizhalgal Ravi
act_315,Mita Vashisht
act_4610,Pratham Ghatkal
act_3276,Pravessh Rana
act_3956,Rajesh Tandon
act_3079,Chandrachur Karnik
act_5090,Sunny Charles
act_918,Surya Sharma
act_2132,Nicole Faria
act_5311,Danny Sura
act_2226,Ekta Sohini
act_4269,Saaikat Bagbaan
act_2335,DN Bhatt
act_2160,Elli Avrram
act_626,Varun Tej
act_1979,Abhinav Singh
act_1829,Sangeeta Bijlani
act_5131,Kunal Kohli
act_4332,Gaurav Nanda
act_376,Pallavi Joshi
act_1921,Himani Rawat
act_4910,Malti Chahar
act_4824,Devrati
act_5005,Dheerendra Dwivedi
act_1283,Padmini Kolhapure
act_4896,Yusuf Hussain
act_3268,Brahmanandam
act_2911,Sumit Nijhawan
act_752,Sandesh Bhandari
act_83,Ayush Tandon
act_4827,Muhar Biswas
act_2838,Gope
act_59,Ajay Devgn
act_2039,Manaswani Takri
act_1486,Ali Asgar
act_1625,Makarand Date
act_2228,Ashok Samarth
act_1147,Tushar Dalvi
act_255,Shiv Panditt
act_2223,Vinay Virmani
act_1512,Raj Mehra
act_3873,Harish Bhimani
act_1471,Shreiyah Sabharwal
act_2712,Kuwaarjeet Chopraa
act_438,Kunal Kapoor
act_729,Hemendra Dandotiya
act_2479,Sanjeev Tyagi
act_420,Virendra Saxena
act_336,Ammy Virk
act_759,Lisa Haydon
act_2924,Ashok Kumar Beniwal
act_3309,Ahsaas Channa
act_5375,Amit Kumar Agarwal
act_5100,Harshita Awale
act_1848,Mahesh Kaul
act_2455,Alyy Khan
act_874,Chitrak Bandyopadhyay
act_4840,Babu Kumar
act_783,Karan Aanand
act_196,Parineeti Chopra
act_1925,Hritiqa Chheber
act_2899,Brij Mohan Vyas
act_4398,Henna
act_4549,Shaleen Sharma
act_3578,O.P. Ralhan
act_1077,Talha Arshad Reshi
act_943,Chitrangda Singh
act_299,Sharvari
act_4939,Vishal Kumar
act_1527,Preeti Gupta
act_2801,Rohan Shah
act_5045,Suresh Gopi
act_194,Sara Ali Khan
act_2062,Rishi Bhutani
act_2607,Ravi Kale
act_2321,Aashim Gulati
act_3247,Chandan Bisht
act_3088,Ramesh Goyal
act_4745,Hoshiyar Singh Gautam
act_963,Solanki Diwakar
act_1617,Rajeev Pillai
act_3914,Peter Mugyenyi
act_1731,Karan Johar
act_5288,Eva Grover
act_4969,Viju Khote
act_211,Sangeeth Shobhan
act_728,Rajesh Abhay
act_4415,Aditya Rawal
act_4727,Kuldeep Dubey
act_3845,Swarup Dutt
act_3802,Maleeka Ghai
act_5017,Bharat Jadhav
act_1727,Payal Rohatgi
act_2237,Hemant K Gaur
act_977,Benafsha Soonawalla
act_3012,Abhishek Sharma
act_2463,Ehsaan Qureshi
act_3092,Vandana Sawant
act_4560,Avii
act_3367,Aryan Vaid
act_4152,George Dawson
act_643,Sayani Gupta
act_2042,Pratima Kazmi
act_622,Chia-Hui Liu
act_305,Prabhleen Sandhu
act_4328,Ashish Bisht
act_4738,Aarav Mavi
act_2743,Raageshwari
act_3814,Poonam Dasgupta
act_2184,Tara Deshpande
act_5046,Joemon Joshy
act_656,Shafique
act_2935,Suvarna Jha
act_5181,Ravi Khanna
act_1467,Shobha Khote
act_758,Michael Gambon
act_2423,Aamir Ahmed
act_3497,Himanshu Bhatt
act_1706,Chunky Pandey
act_49,Sohum Shah
