director_id,movie_id
dir_1,tt26229612
dir_2,tt3562110
dir_3,tt27162102
dir_4,tt27162102
dir_5,tt27540217
dir_6,tt31529147
dir_7,tt27843798
dir_8,tt27843798
dir_9,tt32223398
dir_10,tt27922706
dir_11,tt28007064
dir_12,tt1187043
dir_13,tt30798612
dir_14,tt27852049
dir_15,tt7363076
dir_16,tt9214772
dir_17,tt13261550
dir_18,tt13818368
dir_19,tt0454876
dir_20,tt28377588
dir_21,tt8936646
dir_22,tt23849204
dir_23,tt1010048
dir_24,tt1010048
dir_25,tt28622758
dir_26,tt5074352
dir_27,tt32086077
dir_28,tt32060445
dir_29,tt8239946
dir_30,tt8239946
dir_31,tt8239946
dir_32,tt11112532
dir_33,tt0838221
dir_34,tt21108804
dir_35,tt0986264
dir_36,tt3691740
dir_37,tt0083987
dir_38,tt13751694
dir_39,tt28259207
dir_40,tt30444418
dir_41,tt5461944
dir_42,tt18277182
dir_43,tt31712434
dir_44,tt4430212
dir_45,tt21626284
dir_46,tt27721892
dir_47,tt21194868
dir_12,tt2338151
dir_48,tt27056066
dir_49,tt27056066
dir_50,tt6264938
dir_51,tt6571548
dir_52,tt2980648
dir_53,tt32327574
dir_54,tt32327574
dir_55,tt12856788
dir_56,tt1188996
dir_57,tt27510174
dir_58,tt3863552
dir_59,tt8291224
dir_60,tt15354916
dir_61,tt16436848
dir_62,tt27459160
dir_63,tt27459160
dir_64,tt3702652
dir_65,tt2350496
dir_66,tt15501640
dir_67,tt26439870
dir_68,tt10295212
dir_69,tt22457506
dir_56,tt0248126
dir_70,tt8108198
dir_71,tt0361411
dir_12,tt15428134
dir_72,tt27757805
dir_73,tt1954470
dir_74,tt21626774
dir_75,tt13130760
dir_76,tt27477888
dir_77,tt30970235
dir_78,tt27431598
dir_79,tt27995594
dir_80,tt15245240
dir_81,tt0169102
dir_82,tt15437986
dir_83,tt13381376
dir_84,tt31522415
dir_85,tt21279420
dir_18,tt12844910
dir_86,tt30422937
dir_87,tt28075881
dir_56,tt0172684
dir_69,tt27056012
dir_88,tt0347304
dir_89,tt0112870
dir_90,tt10028196
dir_91,tt10230426
dir_92,tt0238936
dir_93,tt11976134
dir_94,tt0420332
dir_89,tt0213890
dir_92,tt5935704
dir_58,tt27470893
dir_95,tt26733317
dir_96,tt1101665
dir_97,tt6649234
dir_43,tt1166100
dir_98,tt10811166
dir_56,tt14993250
dir_38,tt8983202
dir_92,tt10083340
dir_57,tt8108202
dir_99,tt1562872
dir_100,tt10786774
dir_101,tt5255710
dir_102,tt5255710
dir_103,tt23475174
dir_104,tt26932223
dir_105,tt1292703
dir_81,tt0367110
dir_106,tt0164538
dir_107,tt10280296
dir_108,tt27032419
dir_109,tt0292490
dir_93,tt2112124
dir_109,tt0323013
dir_110,tt27744786
dir_84,tt1280558
dir_111,tt1280558
dir_112,tt8439854
dir_99,tt8439854
dir_105,tt8439854
dir_56,tt8439854
dir_113,tt8439854
dir_114,tt27679608
dir_115,tt10869778
dir_116,tt31897917
dir_89,tt1182937
dir_117,tt3390572
dir_18,tt7430722
dir_118,tt0405508
dir_119,tt1647668
dir_120,tt24268454
dir_121,tt24268454
dir_112,tt27989067
dir_122,tt27989067
dir_123,tt27989067
dir_115,tt27989067
dir_113,tt27989067
dir_124,tt1024943
dir_61,tt12861212
dir_125,tt3405236
dir_26,tt9052870
dir_126,tt2082197
dir_127,tt4501268
dir_128,tt2555736
