director_id,director_name
dir_1665,Nikhil Pherwani
dir_1656,Shammi Chhabra
dir_983,Amit Kumar
dir_76,S. Sashikanth
dir_1070,Rajiv Babbar
dir_521,Pallavi Roy Sharma
dir_183,Luv Ranjan
dir_1271,Stars
dir_133,Mohit Suri
dir_900,Kuldeep Singh
dir_518,Shyam Benegal
dir_552,Jyoti Swaroop
dir_140,Santosh Sivan
dir_1401,Mohan Segal
dir_838,Devendra Goel
dir_1024,Raghunath Jhalani
dir_1837,Adeeb Rais
dir_1388,Muazzam Beg
dir_1099,Vaibhav Misra
dir_1313,Sunil Subramani
dir_1792,Attaullah Khan
dir_1446,Rajkumar Patra
dir_880,Saurabh Choubey
dir_333,Sujeeth
dir_1264,Pradip Khairwar
dir_480,Dilip Ghosh
dir_634,Prabhuraj
dir_502,Horse Babu
dir_768,Kabeer Kaushik
dir_335,Rohit Mittal
dir_187,Krishna D.K.
dir_587,Raj N. Sippy
dir_958,Arjun Mukerjee
dir_367,Heavenveer Singh Hayer
dir_430,Irfan Kamal
dir_1515,Pranav Singh
dir_65,Ritesh Batra
dir_1532,Sohanlal Kanwar
dir_540,Bat for Lashes
dir_531,Suraj Joshi
dir_561,Mandeep Kumar
dir_1839,K.S. Malhotra
dir_1207,Firoz Irani
dir_1652,Dilip Naik
dir_1244,Muzaffar Ali
dir_1465,Sidharth Shukla
dir_214,Vikram K. Kumar
dir_1730,Ishtiyak Khan
dir_1199,Rahul Bose
dir_1840,S. Soni
dir_1576,G. Suman Reddy
dir_1054,Vivek b Agrawal
dir_717,Anshai Lal
dir_1767,Abhay Nihalani
dir_1072,Ashok Tyagi
dir_1001,Vishwesh Krishnamoorthy
dir_924,Rahul Sharma
dir_19,Ang Lee
dir_204,Akarsh Khurana
dir_542,Jatinkumar Jagdishbhai Patel
dir_785,Jatla Siddartha
dir_29,Rahi Anil Barve
dir_380,Mahmood Farooqui
dir_897,Shahnawaz Ali
dir_352,Chaitanya Tamhane
dir_709,Alok Batra
dir_1018,Pramod Chakravorty
dir_1491,K. Ramanlal
dir_1345,Santosh Kumar
dir_1307,Sanjay Jha
dir_963,Avishek Ghosh
dir_1037,Bhappi Sonie
dir_1400,Ramkumar Shedge
dir_843,Asshu Trikha
dir_1516,Jitendra Tiwari
dir_700,Goswami Mahesh Gari Tulsigiri
dir_1789,Prithvi Konanur
dir_1856,Ahmed Nayeem
dir_809,Shubhashish Bhutiani
dir_258,Milan Luthria
dir_643,Cchinmay P Purohit
dir_1505,Sajit Warrier
dir_1184,Debaloy Dey
dir_741,Dinesh Mahadev
dir_821,Onir
dir_856,Shantanu Anant Tambe
dir_1188,Vikas Desai
dir_1655,Afzal Ahmed
dir_68,Vishnuvardhan
dir_1028,S. Ram Sharma
dir_107,Shoojit Sircar
dir_702,Pavan Kaul
dir_1135,Arunava Chowdhury
dir_1461,Rakhee Sandilya
dir_1423,Gautam Joshi
dir_1560,Prashant Murli Gorey
dir_1720,Harsukh Jagneshwar Bhatt
dir_596,Arjun Sablok
dir_239,Shantanu Bagchi
dir_885,K.C. Bokadia
dir_862,Ashok Gaekwad
dir_1721,Pradip Krishen
dir_747,Bornila Chatterjee
dir_961,Vishal Chaturvedi
dir_216,Anonno Mamun
dir_1754,Dilip Virender Sood
dir_244,Mira Nair
dir_1566,Vikas Khanna
dir_1273,Puneet Sikka
dir_697,Sudhish Kamath
dir_1697,Vickrant Mahajan
dir_429,Mrighdeep Lamba
dir_517,Abhishek Jain
dir_1514,Raju Khan
dir_1278,Samir Joshi
dir_1200,Prashant Pandey
dir_1707,Ravindra Gautam
dir_1735,Baba Azmi
dir_1348,Manoj K. Jha
dir_309,Amrit Sagar
dir_605,Farogh Siddique
dir_1766,Kunaal Roy Kapur
dir_678,Vijaygiri Bava
dir_1450,Lakshmikanth Chenna
dir_724,Debamitra Biswal
dir_85,Kangana Ranaut
dir_1617,Karandeep Singh
dir_104,Anees Bazmee
dir_1485,Aziz Khan
dir_725,Dinesh Vijan
dir_1659,Bipin Nadkarni
dir_9,Gopichand Malineni
dir_70,Sriram Raghavan
dir_1315,Arjun Gaikwad
dir_135,Kunal Kemmu
dir_764,Pushpenddra Singh
dir_1777,Agneya Singh
dir_551,Maqbool Khan
dir_927,Shantaram Rajaram Vankudre
dir_1179,Anant Balani
dir_1147,Sunaina Bhatnagar
dir_622,Ravi Kumar
dir_1482,Jeff Zimbalist
dir_238,Paul Rupesh
dir_435,Prakash Mehra
dir_1006,Shiirshak S. Anand
dir_1773,Amlan Datta
dir_1012,Jijo Punnoose
dir_147,Rajesh A Krishnan
dir_411,Feroz Khan
dir_1842,Visakh G S
dir_366,Leena Yadav
dir_1312,Prem Prakash Modi
dir_1608,Salim Raza
dir_1321,Saurabh Kabra
dir_1646,Suneet Arora
dir_1116,Soni Razdan
dir_1481,Yashpal Sharma
dir_674,Tania Deohans
dir_278,Vijay Maurya
dir_520,Kuran Dhillon
dir_1007,Shantanu Ray Chhibber
dir_925,Kalpana Lajmi
dir_1520,Ajay K Saklanni
dir_588,Shasha Montana
dir_1854,Pratik Mittal
dir_1066,S. Deepak
dir_1845,Umang Dev Shukla
dir_1573,Dushyant Pratap Singh
dir_677,Kaushik Ghatak
dir_398,Niraj Chauhan
dir_1411,Paparao Biyyala
dir_1256,C.L. Rawal
dir_1843,Deepti Kakkar
dir_1825,Bijukumar Damodaran
dir_1372,Shankar Mukherjee
dir_1259,Harsh Warrdhan
dir_1363,Dylan Mohan Gray
dir_1855,Sanjib Dey
dir_95,Vasan Bala
dir_713,Nitin Manmohan
dir_132,Vijay Krishna Acharya
dir_1584,Shekkhar Suri
dir_613,Apurva Dhar Badgaiyan
dir_912,Satyanshu Singh
dir_1013,Joy Augustine
dir_787,Chitraarth
dir_1731,Deena Raj
dir_160,Saiju Sreedharan
dir_222,Grswkk
dir_1615,Anup Das
dir_1121,Abhinav Shiv Tiwari
dir_291,Apoorva Lakhia
