genre_id,genre_name
gen_1,Psychological Drama
gen_2,Superhero
gen_3,One-Person Army Action
gen_4,Quest
gen_5,Time Travel
gen_6,Heist
gen_7,Documentary
gen_8,Fairy Tale
gen_9,Desert Adventure
gen_10,Folk Horror
gen_11,Contemporary Western
gen_12,Epic
gen_13,Animation
gen_14,Comedy
gen_15,Music
gen_16,Feel-Good Romance
gen_17,Romance
gen_18,Body Horror
gen_19,True Crime
gen_20,Splatter Horror
gen_21,Buddy Cop
gen_22,Steamy Romance
gen_23,Survival
gen_24,High-Concept Comedy
gen_25,War
gen_26,Erotic Thriller
gen_27,Serial Killer
gen_28,Musical
gen_29,Action Epic
gen_30,Political Thriller
gen_31,Legal Thriller
gen_32,Historical Epic
gen_33,Medical Drama
gen_34,Western
gen_35,Mountain Adventure
gen_36,Suspense Mystery
gen_37,Water Sport
gen_38,Spy
gen_39,Globetrotting Adventure
gen_40,Drama
gen_41,Showbiz Drama
gen_42,Fantasy
gen_43,Thriller
gen_44,Supernatural Horror
gen_45,History Documentary
gen_46,Dystopian Sci-Fi
gen_47,Screwball Comedy
gen_48,Docudrama
gen_49,Gangster
gen_50,Family
gen_51,Road Trip
gen_52,Sci-Fi Epic
gen_53,Disaster
gen_54,Gun Fu
gen_55,Romantic Comedy
gen_56,Caper
gen_57,Teen Drama
gen_58,Baseball
gen_59,Extreme Sport
gen_60,Dark Comedy
gen_61,Boxing
gen_62,Supernatural Fantasy
gen_63,Computer Animation
gen_64,Dark Fantasy
gen_65,Workplace Drama
gen_66,Cyber Thriller
gen_67,Quirky Comedy
gen_68,News
gen_69,Buddy Comedy
gen_70,Sea Adventure
gen_71,Soccer
gen_72,Slapstick
gen_73,Tragedy
gen_74,Car Action
gen_75,Mystery
gen_76,Mockumentary
gen_77,Artificial Intelligence
gen_78,Dark Romance
gen_79,Teen Horror
gen_80,Psychological Horror
gen_81,Coming-of-Age
gen_82,Drug Crime
gen_83,Legal Drama
gen_84,Cop Drama
gen_85,Whodunnit
gen_86,War Epic
gen_87,Raunchy Comedy
gen_88,Animal Adventure
gen_89,Romantic Epic
gen_90,Teen Adventure
gen_91,Financial Drama
gen_92,Sci-Fi
gen_93,Monster Horror
gen_94,B-Horror
gen_95,Travel Documentary
gen_96,Tragic Romance
gen_97,Sports Documentary
gen_98,Horror
gen_99,Police Procedural
gen_100,Teen Comedy
gen_101,Adventure Epic
gen_102,Jungle Adventure
gen_103,Satire
gen_104,Prison Drama
gen_105,Conspiracy Thriller
gen_106,Werewolf Horror
gen_107,Adventure
gen_108,Period Drama
gen_109,Teen Romance
gen_110,Parody
gen_111,Martial Arts
gen_112,Sport
gen_113,Crime
gen_114,Slasher Horror
gen_115,Zombie Horror
gen_116,Costume Drama
gen_117,Psychological Thriller
gen_118,Action
gen_119,Space Sci-Fi
gen_120,Biography
gen_121,Political Drama
gen_122,History
