movie_id,movie_name,description,release_date,rating,batch
tt26229612,1. The Diplomat,"An Indian diplomat who tries to repatriate an Indian girl from Pakistan, where she was presumably forced and deceived into marrying against her will.",2025,7.2,1
tt3562110,2. Kesari Chapter 2: The Untold Story of Jallianwala Bagh,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre.",2025,8.3,1
tt27162102,3. The Bhootnii,"St Vincent college has a tree in their compound known as Virgin tree,which is worshiped by lovers during Valentines day. But it also has another side of story of being haunted where in a witch lives on it and has taken lives of several young man.Shantanu one of the students is ditched by his lover on the valentine's day in a drunken state he reaches near the tree and sees visions of the witch and attempts suicide but gets saved by his friends.Ananya and Shantanu secretly love each other but have never expressed and are just friends , during a college festival another student attempts suicide and college decides to get a solution out of it.The management invites Dr Krishna Tripathy better known as Baba who can fight demons with modern techniques.Shantanu comes across a beautiful women Mohabbat and starts drifting away from Ananya,Mohabbat in reality is the witch who has fallen in love with Shantanu and wants to take him along. Mohabbat attacks Shantanu and Ananya on different occasions but Baba saves them on time and also survives her attack.Baba goes into the depth of his psychology and realizes that Mohabbat is different kind of soul and wont let Shantanu and Ananya be one and in order to stop her he starts digging her past.",2025,6.5,1
tt27540217,4. Good Bad Ugly,"A fearless don tries to change his ruthless ways and violent past to live peacefully with his family. However, his dark past continues to haunt him. He faces it head-on and overcomes it.",2025,6.0,1
tt31529147,5. Odela 2,"In a remote village, steeped in rich cultural heritage and age-old traditions, its true saviour Odela Mallanna Swamy always protects his village from evil forces.",2025,5.9,1
tt27843798,6. Jewel Thief: The Heist Begins,A master thief accepts a mission to steal the legendary African Red Sun diamond. What begins as a meticulously planned heist spirals into a dangerous game of double-crosses and shifting loyalties.,2025,4.1,1
tt32223398,7. Jaat,"In this Hindi-language action thriller, an elite Indian government operative is sent to Sri Lanka to bring down a ruthless terrorist whose activities are financed by crime.",2025,6.6,1
tt27922706,8. Chhaava,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj.",2025,7.3,1
tt28007064,9. Superboys of Malegaon,"The journey of an aspiring filmmaker as he bands together his group of friends to make a film for his town, Malegaon.",2024,7.8,1
tt1187043,10. 3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2009,8.4,1
tt30798612,11. Crazxy,Abhimanyu Sood. Good surgeon. Bad father. Questionable human being. He is having the worst day of his life.,2025,6.8,1
tt27852049,12. Deva,A brilliant yet rebellious police officer uncovers a web of deceit and betrayal while investigating a high-profile case.,2025,6.7,1
tt7363076,13. Raid,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,2018,7.4,1
tt9214772,14. Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.,2024,6.8,1
tt13261550,15. Costao,The story of the civil servant who worked unafraid to fix the system's failures,2025,6.4,1
